feature,mean_nonzero_ratio,constant_stock_ratio,tier
retail_panic,0.00124,0.488788,event
cb_2_ma5_lag2,0.001242,0.0,event
board_height_20d_lag2,0.001327,0.000181,event
news_sent_bear_vol_lag1,0.001345,0.0,event
concept_momentum_12m_std20_lag3,0.00136,0.000362,event
concept_momentum_3m_std20_lag3,0.00136,0.000362,event
concept_momentum_6m_std20_lag3,0.00136,0.000362,event
market_state_frenzy_std20_lag3,0.00136,0.000362,event
market_state_ice_std20_lag3,0.00136,0.000362,event
market_state_strong_std20_lag3,0.00136,0.000362,event
cb_1_lag5,0.001386,0.0,event
cb_1_std20_lag3,0.001418,0.0,event
cb_2_ma10,0.001421,0.000904,event
bonus_ratio,0.001429,0.873599,event
cb_0_std20_lag3,0.001478,0.000362,event
board_momentum_max_std20_lag3,0.001482,0.000362,event
board_momentum_mean_std20_lag3,0.001482,0.000362,event
cb_2_accel,0.001511,0.000904,event
cb_2_ma20,0.001511,0.000904,event
cb_2_ma5_lag3,0.001526,0.0,event
cb_2_lag5,0.001556,0.0,event
news_sent_streak_lag1,0.001558,0.0,event
cb_1_ma5_lag5,0.001571,0.0,event
retail_panic_lag1,0.00158,0.0,event
cb_2_accel_lag1,0.001586,0.0,event
cb_2_ma10_lag1,0.001586,0.0,event
cb_2_ma20_lag1,0.001586,0.0,event
cb_1_accel_lag5,0.001593,0.0,event
cb_1_ma10_lag5,0.001593,0.0,event
cb_1_ma20_lag5,0.001593,0.0,event
bonus_ratio_ma5,0.001614,0.873599,event
market_state_normal,0.001638,0.000542,event
board_height_20d_lag3,0.001639,0.000362,event
news_sent_bear_vol_lag2,0.001682,0.000181,event
comment_attention_lag5,0.0017,0.000362,event
comment_institution_lag5,0.0017,0.000362,event
comment_trend_lag5,0.0017,0.000362,event
concept_momentum_12m_accel_lag5,0.0017,0.000362,event
concept_momentum_12m_lag5,0.0017,0.000362,event
concept_momentum_12m_ma10_lag5,0.0017,0.000362,event
concept_momentum_12m_ma20_lag5,0.0017,0.000362,event
concept_momentum_12m_ma5_lag5,0.0017,0.000362,event
concept_momentum_3m_accel_lag5,0.0017,0.000362,event
concept_momentum_3m_lag5,0.0017,0.000362,event
concept_momentum_3m_ma10_lag5,0.0017,0.000362,event
concept_momentum_3m_ma20_lag5,0.0017,0.000362,event
concept_momentum_3m_ma5_lag5,0.0017,0.000362,event
concept_momentum_6m_accel_lag5,0.0017,0.000362,event
concept_momentum_6m_lag5,0.0017,0.000362,event
concept_momentum_6m_ma10_lag5,0.0017,0.000362,event
