window,feature,ic_cross,icir_cross,ic_pos_ratio,coverage,ic_ts,grade
full,max_20d,0.028035085213375138,0.13316280598164768,0.5484592445328031,1.0,0.031026967074624656,high
full,vstd_20d,0.027928947199211688,0.1826312055552244,0.5797713717693836,1.0,0.011138905888748525,high
full,market_state_normal_lag5,0.02788981086901034,0.17655751464232908,0.5,0.0014910536779324055,-0.008875241056947336,high
full,cntn_10d,0.02788352558737814,0.16737294270368264,0.5693339960238568,1.0,0.015542286600163702,high
full,market_state_volatile_ma5_lag3,0.027823452472693466,0.21728953784031826,0.5,0.002485089463220676,0.00028840114433907745,high
full,seal_quality,0.02764940719529354,0.16850519839056377,0.5638820638820639,0.606858846918489,0.030724782422499743,high
full,market_state_weak_std20_lag20,0.02759364171357555,0.23331323069755538,0.625,0.03578528827037773,0.019585768355261258,high
full,market_state_volatile_accel_lag3,0.027453120669726466,0.21237141714627392,0.5,0.002982107355864811,-0.007992182922367997,high
full,eps,0.027346892335771842,0.1592181941460597,0.5717415115005476,0.2268886679920477,-0.010694416994951389,high
full,max_10d,0.02716254363038245,0.13126940118930314,0.5457256461232605,1.0,0.03159498963737685,high
full,limit_up_streak,0.027079740724962487,0.16534104253988655,0.5630630630630631,0.606858846918489,0.030633556871447292,high
full,is_limit_up,0.026950300315567985,0.16461533898464276,0.5585585585585585,0.606858846918489,0.03057600840775962,high
full,market_state_weak_lag5,0.026568916458270107,0.1536491824332432,0.509090909090909,0.027335984095427434,-0.007807464374961584,high
full,market_state_weak_std20,0.026523874278239806,0.17773035117825883,0.583941605839416,0.03404572564612326,0.00474030072598178,high
full,market_state_weak_accel,0.02643950050457792,0.17778985382870588,0.5912408759124088,0.03404572564612326,0.005700145041719638,high
full,roa,0.026058510436484248,0.1772259916500374,0.5815991237677984,0.2268886679920477,-0.013040564066503117,high
full,board_momentum_max_accel_lag3,0.025979393622595992,0.398262560662772,0.7142857142857143,0.0017395626242544733,0.0031379572010184105,high
full,board_momentum_mean_accel_lag3,0.025979393622595992,0.398262560662772,0.7142857142857143,0.0017395626242544733,0.0031379572010184105,high
full,cpi_yoy,0.025604422810935938,0.15253451469128756,0.5977011494252874,0.02162027833001988,-0.0053242483977779045,high
full,roe_lag1,0.025454892790752453,0.1594346981565578,0.5757250268528464,0.23136182902584493,-0.010833141946902766,high
full,imin_10d,0.025191240923221815,0.15311352750392243,0.5608846918489065,1.0,0.016076623925475694,high
full,market_state_weak_ma5_lag2,0.02508229465056397,0.1455841711628942,0.5213675213675214,0.02907554671968191,-0.008197794915474586,high
full,market_state_volatile_lag10,0.024939825692582053,0.24230417968170856,0.375,0.0019880715705765406,0.007151408111679848,high
full,roe_lag2,0.024762045689127783,0.15288627958706724,0.5747368421052632,0.2360834990059642,-0.009195951070014719,high
full,market_state_weak_accel_lag20,0.0246919519466903,0.2068514152638088,0.5972222222222222,0.03578528827037773,0.010475051858360611,high
full,market_state_weak_z20_lag20,0.02449561881809746,0.2059782130645689,0.6111111111111112,0.03578528827037773,0.010387791655438485,high
full,eps_lag1,0.024355447980519772,0.14125376044841234,0.5628356605800214,0.23136182902584493,-0.010657805687364819,high
full,board_momentum_max_lag3,0.024305081217038293,0.2816918656796195,0.5,0.0004970178926441351,0.01280637595781102,high
full,board_momentum_mean_lag3,0.024305081217038293,0.2816918656796195,0.5,0.0004970178926441351,0.01280637595781102,high
full,roe_lag3,0.02424737431223778,0.14957057783211547,0.5657084188911704,0.24204771371769385,-0.007821962927679785,high
full,comment_score_lag1,0.024094422239490428,0.12907087491417438,0.625,0.011928429423459244,-0.009272033688820883,high
full,roa_lag1,0.02395014589484694,0.16307174211217543,0.5735767991407089,0.23136182902584493,-0.012732237568739568,high
full,fx_eur_cny,0.023793026202536764,0.1399333370361594,0.5575221238938053,0.05616302186878728,-0.01641279179754344,high
full,market_state_weak_ma5,0.02376150342025806,0.1362006947401567,0.5126050420168067,0.029572564612326043,-0.007970886071324857,high
full,net_zt_proportion_std20,0.023593787829461456,0.2556822820338465,0.46153846153846156,0.0032306163021868788,0.0031804430645481344,high
full,market_state_normal_ma5,0.02358716671362993,0.1938564998864109,0.4,0.001242544731610338,-0.004047484123520283,high
full,profit_yoy,0.023508538820279326,0.1748463082131403,0.5618838992332968,0.2268886679920477,0.0013142976252077298,high
full,eps_lag3,0.02333191863788126,0.1343907543815057,0.561025641025641,0.2422962226640159,-0.0075682440431770305,high
full,news_sent_streak_lag20,0.02331902680259093,0.20300974265724842,0.5869565217391305,0.02286282306163022,-0.001169032504902831,high
full,market_state_volatile_ma20_lag3,0.023317508601858765,0.23658949499325102,0.5384615384615384,0.0032306163021868788,0.0021269691585948424,high
full,market_state_volatile_std20_lag3,0.023317508601858765,0.23658949499325102,0.5384615384615384,0.0032306163021868788,0.0021259837880165965,high
